description,chance-success
"health:.99
strength:.53
dexterity:.31
perception:.45
intelligence:.82
charisma:.73
stamina:.11
<DM>The room beyond the door is dimly lit, shadows stretching across the walls as a faint, eerie hum fills the air. Dust particles drift lazily in the thin beam of light that slips through the crack, revealing old, weathered furniture covered in a thin layer of dust, and the musty scent of age and abandonment hangs heavy in the air.</DM>
<Player>I cautiously approach the door and push it open to see what lies beyond.</Player>",0.99
"health: 0.91
strength: 0.62
dexterity: 0.73
perception: 0.54
intelligence: 0.85
charisma: 0.41
stamina: 0.63
<DM>You find yourself in a dimly lit cavern, the sound of dripping water echoing around you. Stalactites hang ominously from the ceiling, and a narrow path leads deeper into the darkness. A faint glimmer of light flickers in the distance.</DM>
<Player>I carefully move forward, keeping an eye on my footing.</Player>",0.95
"health: 0.39
strength: 0.79
dexterity: 0.50
perception: 0.67
intelligence: 0.45
charisma: 0.36
stamina: 0.65
<DM>You are bleeding from a deep wound as you stumble through a dense forest. Ahead, you see a small cabin with smoke rising from the chimney.</DM>
<Player>I push myself forward, trying to reach the cabin before I collapse.</Player>",0.4
"health: 0.2
strength: 0.5
dexterity: 0.7
perception: 0.6
intelligence: 0.8
charisma: 0.3
stamina: 0.4
<DM>A venomous snake has bitten you, and you can feel the poison spreading. You spot a medicinal plant nearby.</DM>
<Player>I crawl toward the plant, hoping to use it to slow the venom.</Player>",0.3
"health: 0.8
strength: 0.6
dexterity: 0.5
perception: 0.6
intelligence: 0.4
charisma: 0.4
stamina: 0.5
<DM>You have been trekking through a scorching desert for hours with little rest. Your body feels drained, and you spot a distant oasis.</DM>
<Player>I push forward, determined to reach the oasis before collapsing.</Player>",0.85
"health: 0.4
strength: 0.8
dexterity: 0.6
perception: 0.5
intelligence: 0.7
charisma: 0.5
stamina: 0.5
<DM>A massive warrior blocks your path, his weapon raised. You have no choice but to fight.</DM>
<Player>I engage the warrior, aiming to strike him down before he can land a fatal blow.</Player>",0.35
"health: 0.9
strength: 0.7
dexterity: 0.6
perception: 0.5
intelligence: 0.6
charisma: 0.5
stamina: 0.7
<DM>You're running from a pack of wolves, their snarls echoing behind you. The terrain is rough, and your body is already aching.</DM>
<Player>I push my body to its limits, sprinting toward a climbable rock formation for safety.</Player>",0.9
"health: 0.3
strength: 0.6
dexterity: 0.4
perception: 0.5
intelligence: 0.6
charisma: 0.3
stamina: 0.7
<DM>You have been infected with a strange illness, your body weak and trembling. You see a healer’s hut at the top of a steep hill.</DM>
<Player>I try to climb the hill, pushing through the pain.</Player>",0.25
"health: 0.5
strength: 0.5
dexterity: 0.5
perception: 0.5
intelligence: 0.7
charisma: 0.4
stamina: 0.4
<DM>You are severely injured after falling into a pit. The only way out is to climb up using the rocky wall.</DM>
<Player>I attempt to scale the wall, ignoring the pain in my limbs.</Player>",0.5
"health: 0.1
strength: 0.6
dexterity: 0.7
perception: 0.5
intelligence: 0.8
charisma: 0.3
stamina: 0.3
<DM>Your vision blurs, and your body shakes from blood loss. A potion sits on a nearby shelf, just out of reach.</DM>
<Player>I stretch out my arm, trying to grab the potion before I black out.</Player>",0.15
"health: 0.7
strength: 0.6
dexterity: 0.5
perception: 0.4
intelligence: 0.6
charisma: 0.3
stamina: 0.6
<DM>A giant boulder rolls toward you, giving you only seconds to react.</DM>
<Player>I dive out of the way, trying to avoid being crushed.</Player>",0.8
"health: 0.2
strength: 0.7
dexterity: 0.6
perception: 0.5
intelligence: 0.6
charisma: 0.4
stamina: 0.5
<DM>You’re on the battlefield, wounds covering your body. An enemy soldier raises his sword for a finishing blow.</DM>
<Player>I roll away and try to get back on my feet.</Player>",0.2
"health: 0.7
strength: 0.9
dexterity: 0.6
perception: 0.5
intelligence: 0.4
charisma: 0.3
stamina: 0.6
<DM>A massive wooden gate blocks your path. There’s no visible lock, only a heavy iron bar keeping it shut.</DM>
<Player>I attempt to lift the iron bar and push the gate open.</Player>",0.95
"health: 0.6
strength: 0.4
dexterity: 0.7
perception: 0.6
intelligence: 0.7
charisma: 0.5
stamina: 0.5
<DM>A large boulder blocks the entrance to a hidden passage. There’s just enough room to wedge your fingers underneath.</DM>
<Player>I try to lift and roll the boulder out of the way.</Player>",0.3
"health: 0.8
strength: 0.7
dexterity: 0.5
perception: 0.4
intelligence: 0.5
charisma: 0.4
stamina: 0.6
<DM>You are locked in a cell with thick iron bars. There’s no key in sight.</DM>
<Player>I grip the bars and attempt to bend them apart.</Player>",0.5
"health: 0.9
strength: 1.0
dexterity: 0.6
perception: 0.5
intelligence: 0.4
charisma: 0.3
stamina: 0.8
<DM>A bridge collapses beneath you, leaving you dangling from the edge. Your only way up is to pull yourself back onto solid ground.</DM>
<Player>I use my upper body strength to pull myself up.</Player>",0.99
"health: 0.5
strength: 0.3
dexterity: 0.8
perception: 0.7
intelligence: 0.6
charisma: 0.4
stamina: 0.5
<DM>A giant beast charges at you. You have no time to dodge—only the option to push against it.</DM>
<Player>I brace myself and try to shove the beast aside.</Player>",0.1
"health: 0.8
strength: 0.6
dexterity: 0.7
perception: 0.5
intelligence: 0.4
charisma: 0.3
stamina: 0.7
<DM>Two wooden doors are being held shut by a group of enemies on the other side.</DM>
<Player>I slam my shoulder into the doors, trying to force them open.</Player>",0.45
"health: 0.7
strength: 0.8
dexterity: 0.6
perception: 0.4
intelligence: 0.5
charisma: 0.4
stamina: 0.7
<DM>A rope bridge has partially collapsed, leaving only a few frayed strands holding it together.</DM>
<Player>I grab the rope and attempt to pull it up to stabilize the bridge.</Player>",0.75
"health: 0.9
strength: 0.5
dexterity: 0.4
perception: 0.6
intelligence: 0.7
charisma: 0.5
stamina: 0.6
<DM>A fellow traveler is trapped beneath a fallen tree branch, calling for help.</DM>
<Player>I attempt to lift the branch off of them.</Player>",0.4
"health: 0.6
strength: 0.9
dexterity: 0.5
perception: 0.5
intelligence: 0.3
charisma: 0.4
stamina: 0.7
<DM>A door is stuck due to rusted hinges and warping from age.</DM>
<Player>I force the door open with raw strength.</Player>",0.9
"health: 0.8
strength: 0.4
dexterity: 0.8
perception: 0.7
intelligence: 0.6
charisma: 0.5
stamina: 0.6
<DM>A heavy portcullis is blocking your path. There is no visible mechanism to lift it.</DM>
<Player>I attempt to lift the portcullis manually.</Player>",0.2
"health: 0.72
strength: 0.40
dexterity: 0.91
perception: 0.55
intelligence: 0.61
charisma: 0.33
stamina: 0.58
<DM>A loose wooden plank on the rope bridge creaks under your weight. You feel it about to snap.</DM>
<Player>I quickly jump to the next plank before it breaks.</Player>",0.95
"health: 0.60
strength: 0.35
dexterity: 0.87
perception: 0.49
intelligence: 0.55
charisma: 0.41
stamina: 0.63
<DM>A dagger-wielding enemy slashes at you in a tight alleyway.</DM>
<Player>I attempt to sidestep and evade the attack.</Player>",0.9
"health: 0.68
strength: 0.42
dexterity: 0.73
perception: 0.59
intelligence: 0.48
charisma: 0.37
stamina: 0.52
<DM>A gap in the broken bridge lies ahead, about six feet across.</DM>
<Player>I take a running start and leap across.</Player>",0.75
"health: 0.54
strength: 0.30
dexterity: 0.61
perception: 0.50
intelligence: 0.70
charisma: 0.39
stamina: 0.46
<DM>You spot a small pressure plate in the floor ahead. Stepping on it may trigger a trap.</DM>
<Player>I carefully step around the plate to avoid triggering it.</Player>",0.7
"health: 0.75
strength: 0.29
dexterity: 0.94
perception: 0.67
intelligence: 0.45
charisma: 0.42
stamina: 0.68
<DM>An enemy archer fires an arrow directly at you from a distance.</DM>
<Player>I duck and roll to avoid the arrow.</Player>",0.96
"health: 0.59
strength: 0.33
dexterity: 0.80
perception: 0.55
intelligence: 0.60
charisma: 0.50
stamina: 0.54
<DM>A chandelier above is swaying, its rope frayed and about to snap.</DM>
<Player>I run and leap to grab onto it before it falls.</Player>",0.85
"health: 0.71
strength: 0.38
dexterity: 0.58
perception: 0.61
intelligence: 0.62
charisma: 0.45
stamina: 0.49
<DM>You notice a tripwire across the hallway just inches from your foot.</DM>
<Player>I carefully lift my foot and step over the wire.</Player>",0.65
"health: 0.65
strength: 0.47
dexterity: 0.85
perception: 0.53
intelligence: 0.52
charisma: 0.36
stamina: 0.57
<DM>A vine-covered wall stands in your way, offering narrow handholds.</DM>
<Player>I climb the wall using careful, precise movements.</Player>",0.88
"health: 0.63
strength: 0.32
dexterity: 0.92
perception: 0.66
intelligence: 0.51
charisma: 0.44
stamina: 0.64
<DM>A guard is watching the entrance closely. You need to sneak past without being seen.</DM>
<Player>I move silently, avoiding his line of sight.</Player>",0.93
"health: 0.77
strength: 0.39
dexterity: 0.69
perception: 0.58
intelligence: 0.63
charisma: 0.48
stamina: 0.56
<DM>A rolling boulder is coming your way, gaining speed.</DM>
<Player>I sprint and dive to the side just in time.</Player>",0.78
"health: 0.68
strength: 0.45
dexterity: 0.52
perception: 0.94
intelligence: 0.58
charisma: 0.47
stamina: 0.50
<DM>As you step into the dimly lit chamber, you hear a faint click beneath your foot.</DM>
<Player>I immediately stop and examine the floor for a trap.</Player>",0.95
"health: 0.55
strength: 0.40
dexterity: 0.60
perception: 0.89
intelligence: 0.62
charisma: 0.50
stamina: 0.48
<DM>A hooded figure in the marketplace tries to discreetly reach for your coin pouch.</DM>
<Player>I quickly turn and grab their wrist before they steal from me.</Player>",0.9
"health: 0.72
strength: 0.35
dexterity: 0.55
perception: 0.87
intelligence: 0.70
charisma: 0.43
stamina: 0.52
<DM>In the thick undergrowth of the jungle, you hear rustling nearby.</DM>
<Player>I focus and try to determine if it's an animal or an enemy.</Player>",0.88
"health: 0.63
strength: 0.47
dexterity: 0.59
perception: 0.92
intelligence: 0.55
charisma: 0.41
stamina: 0.60
<DM>While examining an ancient manuscript, you notice a strange symbol hidden in the margins.</DM>
<Player>I inspect the symbol closely to decipher its meaning.</Player>",0.93
"health: 0.74
strength: 0.42
dexterity: 0.51
perception: 0.85
intelligence: 0.67
charisma: 0.39
stamina: 0.57
<DM>You're playing a high-stakes poker game, and your opponent smirks slightly as he places his bet.</DM>
<Player>I watch his body language for any signs of a bluff.</Player>",0.87
"health: 0.66
strength: 0.36
dexterity: 0.57
perception: 0.90
intelligence: 0.60
charisma: 0.49
stamina: 0.55
<DM>A mysterious note has been slipped under your door.</DM>
<Player>I analyze the handwriting and paper to determine its origin.</Player>",0.91
"health: 0.70
strength: 0.44
dexterity: 0.62
perception: 0.88
intelligence: 0.53
charisma: 0.46
stamina: 0.51
<DM>The bartender hands you a drink, but something about it seems off.</DM>
<Player>I subtly inspect the drink for tampering.</Player>",0.89
"health: 0.62
strength: 0.38
dexterity: 0.50
perception: 0.95
intelligence: 0.59
charisma: 0.42
stamina: 0.54
<DM>You're tracking someone through the forest, but the footprints are faint.</DM>
<Player>I carefully study the ground to determine their direction.</Player>",0.96
"health: 0.75
strength: 0.41
dexterity: 0.58
perception: 0.86
intelligence: 0.65
charisma: 0.40
stamina: 0.53
<DM>In a room full of artifacts, one of them stands out as a possible fake.</DM>
<Player>I closely examine its craftsmanship to verify its authenticity.</Player>",0.88
"health: 0.67
strength: 0.37
dexterity: 0.54
perception: 0.91
intelligence: 0.61
charisma: 0.45
stamina: 0.50
<DM>A hooded figure has been following you at a distance through the marketplace.</DM>
<Player>I pretend not to notice but keep an eye on their movements.</Player>",0.94
"health: 0.64
strength: 0.40
dexterity: 0.55
perception: 0.72
intelligence: 0.94
charisma: 0.48
stamina: 0.50
<DM>You find an old book written in an ancient language.</DM>
<Player>I attempt to translate the text using my knowledge of linguistics.</Player>",0.95
"health: 0.58
strength: 0.38
dexterity: 0.49
perception: 0.68
intelligence: 0.91
charisma: 0.50
stamina: 0.53
<DM>A complex lock with strange engravings bars your way.</DM>
<Player>I analyze the engravings to figure out the unlocking mechanism.</Player>",0.93
"health: 0.72
strength: 0.44
dexterity: 0.60
perception: 0.75
intelligence: 0.89
charisma: 0.41
stamina: 0.55
<DM>A scholar challenges you to a game of strategy, wagering valuable information.</DM>
<Player>I carefully consider my moves, using logic and strategy to outplay them.</Player>",0.91
"health: 0.69
strength: 0.41
dexterity: 0.52
perception: 0.79
intelligence: 0.95
charisma: 0.47
stamina: 0.48
<DM>You come across a machine with a broken component.</DM>
<Player>I examine the inner workings and attempt to repair it.</Player>",0.96
"health: 0.63
strength: 0.36
dexterity: 0.58
perception: 0.71
intelligence: 0.87
charisma: 0.42
stamina: 0.51
<DM>A noble asks you to solve a riddle to gain their trust.</DM>
<Player>I carefully think through the logic of the riddle before answering.</Player>",0.9
"health: 0.70
strength: 0.39
dexterity: 0.54
perception: 0.73
intelligence: 0.92
charisma: 0.46
stamina: 0.49
<DM>You stumble upon a half-written alchemical formula.</DM>
<Player>I analyze the ingredients and complete the missing parts of the formula.</Player>",0.94
"health: 0.66
strength: 0.35
dexterity: 0.50
perception: 0.78
intelligence: 0.90
charisma: 0.44
stamina: 0.47
<DM>A king presents you with two advisors, one always lies, the other always tells the truth.</DM>
<Player>I craft a question that forces the truth to reveal itself.</Player>",0.92
